公司地址,所属区域,所属街道,工作经验,招聘学历,招聘职位,薪资范围,公司名称,服务范围,融资状态,公司规模,联系人,联系人职位
北京,朝阳区,酒仙桥,1-3年,本科,Python,15-30K·15薪,58集团,互联网,不需要融资,10000人以上,李女士,HRBP
北京,东城区,磁器口,5-10年,本科,Python讲师,20-30K,达内教育集团,在线教育,已上市,1000-9999人,李女士,HR
北京,,,5-10年,本科,Python,15-30K,金风科技,计算机软件,已上市,1000-9999人,陈先生,团队主管
北京,海淀区,苏州街,3-5年,本科,Python,15-24K·14薪,好未来,互联网,已上市,10000人以上,徐女士,招聘者
北京,昌平区,回龙观,经验不限,本科,python,15-25K,乘法云,互联网,B轮,100-499人,孟女士,招聘
北京,大兴区,次渠,5-10年,本科,Python,15-25K·14薪,京东数字科技,互联网,B轮,1000-9999人,张先生,招聘者
北京,朝阳区,酒仙桥,3-5年,本科,python开发,7-12K,绛门科技,计算机软件,已上市,500-999人,彭女士,HR
北京,朝阳区,酒仙桥,3-5年,本科,Python,20-35K·13薪,土豆雅思,培训机构,A轮,100-499人,王先生,高级人力资源经理
北京,房山区,阎村,3-5年,本科,Python讲师,20-35K,北网,在线教育,未融资,500-999人,史女士,人事
北京,昌平区,沙河,1-3年,本科,Python讲师,20-25K,老男孩IT教育,在线教育,不需要融资,100-499人,周女士,人事
北京,朝阳区,北苑,5-10年,本科,Python工程师,40-50K,58到家,互联网,B轮,1000-9999人,王女士,招聘者
北京,朝阳区,安贞,5-10年,本科,Python高级工程师/专家,30-50K,美菜网,移动互联网,D轮及以上,10000人以上,于女士,招聘经理
北京,朝阳区,望京,3-5年,本科,Python高级开发,20-40K,阿里巴巴集团,互联网,不需要融资,10000人以上,文先生,hrbp
北京,海淀区,万柳,经验不限,硕士,实习-Python研发,2-4K,绿盟科技,信息安全,已上市,1000-9999人,招聘者,招聘者
北京,朝阳区,北苑,1-3年,本科,Python工程师,13-20K·13薪,博乐科技,游戏,B轮,100-499人,黄先生,招聘经理
北京,海淀区,学院路,3-5年,本科,Python工程师,15-30K,志翔科技,信息安全,C轮,100-499人,严先生,大数据算法工程师
北京,朝阳区,望京,3-5年,本科,python工程师,15-25K,图玛深维,医疗健康,B轮,100-499人,高先生,招聘主管
北京,海淀区,苏州街,3-5年,本科,Python工程师-赴微软,10-15K,上海微创软件,计算机软件,不需要融资,1000-9999人,赵女士,招聘专员
北京,朝阳区,大望路,3-5年,本科,Python讲师,12-20K,情非得已,互联网,天使轮,20-99人,孙女士,HR
北京,西城区,复兴门,1年以内,本科,Python,20-40K,网联,互联网金融,不需要融资,100-499人,田先生,运维开发工程师
北京,朝阳区,亮马桥,5-10年,本科,Lead Python Engineer,35-45K·14薪,FreeWheel,互联网,已上市,500-999人,邓先生,HR
北京,海淀区,知春路,1-3年,硕士,Python,12-24K·14薪,北航西部创新港,计算机软件,不需要融资,20-99人,张先生,人事经理
北京,海淀区,清河,3-5年,本科,Python工程师,12-18K,九次方大数据,数据服务,D轮及以上,1000-9999人,hrbp,hrbp
北京,海淀区,中关村,1年以内,本科,Python研发工程师,20-40K,腾讯,互联网,已上市,10000人以上,方女士,人力资源
北京,朝阳区,酒仙桥,5-10年,本科,Python工程师,20-30K·15薪,360金融,互联网,已上市,500-999人,胡女士,HRBP
北京,朝阳区,望京,3-5年,本科,Python,30-60K,阿里巴巴集团,互联网,不需要融资,10000人以上,文先生,hrbp
北京,海淀区,中关村,3-5年,本科,Python后端开发,15-25K,分享动力,互联网,不需要融资,20-99人,王女士,技术主管
北京,朝阳区,酒仙桥,3-5年,本科,Python高级工程师,20-40K,奇安信集团,信息安全,不需要融资,1000-9999人,陈先生,人事经理
北京,朝阳区,立水桥,3-5年,本科,Python,11-12K,历源金成,企业服务,未融资,0-20人,赵先生,招聘者
北京,西城区,西客站,5-10年,本科,python,10-20K,京北方,计算机软件,D轮及以上,10000人以上,蒋先生,招聘主管
北京,,,3-5年,本科,python开发工程师,12-16K,慧博云通,计算机软件,B轮,1000-9999人,孙女士,HR
北京,朝阳区,北苑,5-10年,本科,Python开发工程师,30-60K,流体网络,移动互联网,B轮,100-499人,李女士,招聘者
北京,海淀区,中关村,3-5年,本科,PaaS平台高级工程师（Python）,20-40K,旷视MEGVII,计算机服务,C轮,1000-9999人,HR,HR
北京,朝阳区,亮马桥,1-3年,本科,Python,12-20K·14薪,摩尔妈妈,移动互联网,A轮,20-99人,胡先生,技术经理
北京,朝阳区,望京,3-5年,本科,python工程师,30-40K,快乐迭代,互联网,A轮,20-99人,于女士,招聘者
北京,海淀区,北太平庄,3-5年,本科,Python,20-40K,混沌研习社,在线教育,不需要融资,100-499人,某先生,技术经理
北京,朝阳区,大望路,3-5年,本科,Python,25-35K·15薪,多抓鱼,互联网,B轮,20-99人,吴先生,招聘者
北京,朝阳区,望京,1-3年,本科,Python工程师,10-15K,海马轻帆,移动互联网,A轮,20-99人,王女士,HR
北京,海淀区,学院路,3-5年,本科,Python大数据工程师,15-30K,志翔科技,信息安全,C轮,100-499人,严先生,大数据算法工程师
北京,海淀区,上地,1-3年,本科,Python研发工程师,10-20K,企名片,移动互联网,A轮,20-99人,王先生,CTO
北京,海淀区,五道口,3-5年,本科,高级Python开发工程师,25-40K·14薪,iHandy,移动互联网,不需要融资,100-499人,曹女士,招聘顾问
北京,朝阳区,团结湖,3-5年,本科,Python开发工程师,20-30K,闪银奇异,移动互联网,D轮及以上,1000-9999人,HRBP,HRBP
北京,朝阳区,望京,3-5年,本科,Python高级研发工程师,20-40K,更美app,互联网,D轮及以上,100-499人,秦女士,HR
北京,海淀区,中关村,3-5年,本科,Python研发工程师,15-30K,OKAY智慧教育,在线教育,B轮,500-999人,高先生,HR
北京,海淀区,知春路,经验不限,本科,Python研发工程师,5-10K,东信北邮,移动互联网,未融资,1000-9999人,于女士,招聘主管
北京,昌平区,回龙观,3-5年,本科,python人工智能讲师,40-60K,传智播客,在线教育,不需要融资,1000-9999人,王先生,教学主管
北京,海淀区,中关村,3-5年,本科,高级python开发工程师,25-50K·14薪,旷视MEGVII,计算机服务,C轮,1000-9999人,王女士,HR
北京,,,3-5年,大专,Python讲师,20-30K,积云教育,在线教育,未融资,100-499人,赵女士,人事专员
北京,海淀区,五道口,1-3年,本科,Python开发工程师,15-25K,iHandy,移动互联网,不需要融资,100-499人,卓先生,首席架构师
北京,顺义区,后沙峪,3-5年,本科,python高级工程师,15-25K,厨芯,智能硬件,B轮,100-499人,刘先生,研发
北京,朝阳区,来广营,5-10年,本科,python开发,12-22K,北京纬创,计算机软件,不需要融资,1000-9999人,招聘专员,招聘专员
北京,朝阳区,酒仙桥,应届生,硕士,Python,15-20K·13薪,芸品绿,信息安全,天使轮,100-499人,徐先生,技术总监
北京,海淀区,知春路,经验不限,本科,Python 高级软件工程师,20-40K,SmartX,企业服务,B轮,20-99人,陈女士,HR
北京,朝阳区,望京,1-3年,本科,Python讲师,12-23K,猿辅导,在线教育,D轮及以上,1000-9999人,董女士,HR
北京,海淀区,上地,3-5年,本科,python工程师,15-25K,爱咔咔,互联网,B轮,20-99人,马女士,招聘者
北京,,,3-5年,本科,Python工程师（后端）,15-30K,金睛云华,信息安全,A轮,20-99人,韩女士,招聘者
北京,朝阳区,酒仙桥,1-3年,本科,python,8-10K,绛门科技,计算机软件,已上市,500-999人,李女士,HR
北京,朝阳区,东大桥,经验不限,本科,python编程老师,5-9K,傲梦网络科技,在线教育,B轮,1000-9999人,黄女士,招聘专员
北京,昌平区,北七家,3-5年,大专,Python web项目讲师,30-35K,传智播客,在线教育,不需要融资,1000-9999人,袁女士,人事专员
北京,海淀区,西北旺,3-5年,本科,Python,20-40K,Aibee,互联网,A轮,100-499人,高女士,HR
北京,海淀区,中关村,1-3年,本科,Python,20-30K,香侬慧语科技,移动互联网,A轮,100-499人,刘先生,技术经理
北京,朝阳区,酒仙桥,3-5年,本科,python工程师,15-30K,芸品绿,信息安全,天使轮,100-499人,商女士,HR
北京,朝阳区,百子湾,5-10年,本科,Python,20-40K·13薪,世才科技,生活服务,,0-20人,张女士,hr
北京,海淀区,学院路,3-5年,本科,Python,15-20K,世通亨奇,计算机软件,不需要融资,20-99人,杨女士,hrm
北京,海淀区,北沙滩,1年以内,本科,python少儿编程老师,10-15K,编程猫,移动互联网,C轮,1000-9999人,孙女士,HRBP
北京,朝阳区,酒仙桥,3-5年,本科,Python讲师,15-30K,CSDN,企业服务,B轮,100-499人,曹女士,HR
北京,朝阳区,高碑店,3-5年,本科,高级Python研发工程师,22-35K,掌阅科技,互联网,已上市,500-999人,董女士,HRBP
北京,海淀区,中关村,3-5年,本科,高级python开发工程师,30-50K,旷视MEGVII,计算机服务,C轮,1000-9999人,狄女士,HR
北京,海淀区,西北旺,3-5年,本科,Python开发工程师,25-50K·15薪,Aibee,互联网,A轮,100-499人,刘先生,招聘专家
北京,西城区,德外大街,1年以内,本科,Python,8-10K,乐博乐博机器人,培训机构,已上市,500-999人,佟先生,西城区分公司经理
北京,海淀区,中关村,4天/周,3个月,Linux Python 后端开发(实习),150-200/天,腾讯科技(北京)公司,移动互联网,已上市,10000人以上,乔先生,高级工程师
北京,朝阳区,望京,3-5年,本科,Python高级开发工程师,15-20K,哈希泰格,互联网,天使轮,20-99人,任先生,招聘者
北京,朝阳区,太阳宫,3-5年,本科,python工程师,20-40K,老虎集团,互联网,已上市,100-499人,田先生,招聘经理
北京,,,3-5年,本科,Python研发工程师,15-30K,LBE TECH,移动互联网,C轮,100-499人,高女士,hr
北京,海淀区,四季青,5-10年,本科,高级python工程师,20-35K,首都在线,互联网,C轮,500-999人,彭女士,高级招聘专员
北京,朝阳区,望京,1-3年,本科,Python工程师(深度学习方向),25-50K,探境科技,智能硬件,B轮,100-499人,李女士,HRBP
北京,东城区,东直门,3-5年,本科,Python开发工程师,25-30K,影谱科技,互联网,已上市,100-499人,梁女士,招聘者
北京,海淀区,五道口,5天/周,12个月,python 实习,150-200/天,万物超体,互联网金融,未融资,20-99人,刘先生,技术总监
北京,海淀区,上地,1年以内,本科,Python讲师,20-40K,百知教育,在线教育,未融资,100-499人,孙先生,副总裁
北京,朝阳区,望京,3-5年,大专,Python开发工程师,20-30K,马上消费金融,互联网金融,不需要融资,1000-9999人,李先生,hrbp
北京,朝阳区,三元桥,1-3年,本科,Python工程师,6-11K,Pocoweb,数据服务,不需要融资,20-99人,孙先生,CEO
北京,昌平区,沙河,1-3年,本科,Python讲师,25-50K,老男孩IT教育,在线教育,不需要融资,100-499人,武先生,Python教学总监
北京,朝阳区,望京,3-5年,本科,Python后端开发工程师,20-40K,更美app,互联网,D轮及以上,100-499人,秦女士,HR
北京,海淀区,上地,3-5年,本科,Python,15-30K,中睿天下,互联网,A轮,100-499人,胡女士,人事部经理
北京,朝阳区,三里屯,3-5年,本科,资深Python工程师,25-35K,LBE TECH,移动互联网,C轮,100-499人,苑女士,HR
北京,朝阳区,潘家园,5-10年,本科,Python专家,25-35K,瑞合广祥,互联网,不需要融资,100-499人,张先生,HR
北京,朝阳区,北苑,3-5年,本科,Python开发工程师,25-50K,流体网络,移动互联网,B轮,100-499人,季先生,co-founder
北京,海淀区,西二旗,5-10年,本科,Python架构师-SAAS方向,15-25K·13薪,天融信,信息安全,已上市,1000-9999人,媛女士,招聘者
北京,丰台区,科技园区,1-3年,本科,python后端开发工程师,9-14K,英视睿达,数据服务,未融资,100-499人,宋女士,hr
北京,朝阳区,望京,3-5年,本科,Python 自动化工程师,15-30K,快乐迭代,互联网,A轮,20-99人,井女士,HR
北京,海淀区,五道口,1-3年,本科,Python开发工程师,15-30K,iHandy,移动互联网,不需要融资,100-499人,曹女士,招聘顾问
北京,,,3-5年,大专,Python项目经理/Python高级讲师,12-20K·13薪,华清远见,培训机构,不需要融资,500-999人,殷女士,招聘主管兼HRBP
北京,朝阳区,望京,3-5年,大专,python,13-16K,君凯电子科技有限公司,互联网,未融资,100-499人,任先生,招聘经理
北京,海淀区,苏州街,1-3年,本科,Python⼯程师,10-11K,文思海辉,计算机软件,已上市,10000人以上,虞女士,人力资源
北京,朝阳区,北苑,3-5年,本科,Python工程师,15-25K,北京雷石,互联网,B轮,100-499人,苑女士,人力资源部经理
北京,昌平区,回龙观,1-3年,本科,Python后台开发工程师,10-20K,浩桦科技,医疗健康,A轮,20-99人,韦先生,技术总监
北京,海淀区,上地,4天/周,6个月,python实习生,150-200/天,Flow++,数据服务,A轮,20-99人,张女士,HR
北京,朝阳区,酒仙桥,3-5年,本科,Python后端开发,15-25K,互影,音乐/视频/阅读,A轮,20-99人,Hr,Hr
北京,朝阳区,酒仙桥,3-5年,本科,python开发,10-15K,绛门科技,计算机软件,已上市,500-999人,沈女士,人力资源招聘专员
北京,海淀区,马连洼,3-5年,本科,后端工程师-Python,30-60K,百度,互联网,已上市,10000人以上,姜女士,HRBP
北京,朝阳区,百子湾,3-5年,本科,高级python开发工程师,15-25K,北京趣活科技有限公司,移动互联网,D轮及以上,500-999人,徐女士,Hr
北京,朝阳区,酒仙桥,3-5年,大专,Python中高级研发工程师,15-25K,中科富创,移动互联网,B轮,100-499人,侯女士,HR
北京,,,经验不限,本科,Python高级开发工程师,15-30K·15薪,猎户星空,智能硬件,B轮,500-999人,张女士,HRBP
北京,海淀区,四季青,3-5年,本科,Python研发工程师,15-20K,烽台科技,信息安全,A轮,20-99人,王先生,副总
北京,西城区,动物园,1-3年,本科,Python工程师,10-15K,企商在线,移动互联网,C轮,100-499人,杨先生,招聘经理
北京,海淀区,五道口,3-5年,本科,python开发工程师,12-24K,iHandy,移动互联网,不需要融资,100-499人,王先生,社交内容事业部总经理
北京,海淀区,中关村,5-10年,本科,python高级开发工程师,18-30K,Swie.io,智能硬件,A轮,20-99人,江先生,总经理助理
北京,海淀区,上地,5-10年,本科,"云解决方案售前架构师（Java, Python）",18-36K,甲骨文,计算机软件,已上市,10000人以上,莫女士,Senior Talent Sourcer
北京,海淀区,五道口,3-5年,本科,高级python开发工程师,25-40K,iHandy,移动互联网,不需要融资,100-499人,孙女士,HR
北京,海淀区,中关村,3-5年,本科,高级python开发工程师,20-40K,波场,互联网,不需要融资,100-499人,孙女士,HR
北京,朝阳区,望京,3-5年,本科,Python 工程师,15-30K,快乐迭代,互联网,A轮,20-99人,井女士,HR
北京,西城区,马甸,1-3年,本科,Python算法平台开发主管,10-20K,英视睿达,数据服务,未融资,100-499人,闫女士,招聘者
北京,朝阳区,望京,5-10年,本科,高级Python爬虫工程师,20-35K,鲸鱼外教培优,在线教育,A轮,500-999人,赵女士,招聘专员
北京,海淀区,上地,3-5年,本科,Python研发工程师,25-40K,北京微云智联,智能硬件,天使轮,20-99人,付先生,产品总监
北京,海淀区,清河,1-3年,本科,Python开发工程师,12-20K,多牛传媒,广告营销,已上市,500-999人,虞女士,人事专员
北京,朝阳区,亮马桥,3-5年,本科,资深Python开发,25-35K·14薪,FreeWheel,互联网,已上市,500-999人,邓先生,HR
北京,,,3-5年,本科,资深Python工程师,18-35K,瑞莱智慧科技,计算机服务,天使轮,20-99人,付女士,高级招聘经理
北京,海淀区,四季青,5-10年,本科,python开发工程师,18-35K,首都在线,互联网,C轮,500-999人,彭女士,高级招聘专员
北京,朝阳区,团结湖,3-5年,本科,python高级开发工程师,15-25K,北京初见科技,游戏,C轮,100-499人,唐女士,HR
北京,朝阳区,呼家楼,经验不限,本科,Python开发工程师,10-15K,文因互联,互联网,A轮,20-99人,孙女士,HR
北京,西城区,虎坊桥,1-3年,本科,python开发工程师,10-15K·13薪,知火,计算机服务,天使轮,100-499人,刘女士,招聘经理
北京,海淀区,清河,3-5年,大专,Python区块链工程师,15-25K,九次方大数据,数据服务,D轮及以上,1000-9999人,hrbp,hrbp
北京,朝阳区,建外,经验不限,本科,Python实习生,2-4K,数城未来,互联网,未融资,0-20人,郗女士,HR
北京,,,3-5年,本科,python研发工程师,20-35K,LBE TECH,移动互联网,C轮,100-499人,段女士,HR
北京,朝阳区,望京,3-5年,本科,python开发工程师,20-35K,保险师,移动互联网,B轮,100-499人,赵女士,招聘者
北京,海淀区,中关村,3-5年,本科,算法开发工程师（C++/GO/Python）,25-30K,旷视MEGVII,计算机服务,C轮,1000-9999人,段先生,招聘者
北京,海淀区,上地,1年以内,大专,Python讲师,15-25K,百知教育,在线教育,未融资,100-499人,司女士,人事专员
北京,海淀区,清河,5天/周,6个月,Python开发实习生,150-200/天,下厨房,互联网,B轮,100-499人,孙女士,HRBP
北京,海淀区,中关村,3-5年,本科,测试开发工程师（python）,20-40K·14薪,旷视MEGVII,计算机服务,C轮,1000-9999人,王女士,HR
北京,海淀区,五道口,3-5年,本科,Python开发高级工程师,15-30K·13薪,葡萄智学,在线教育,天使轮,100-499人,佟先生,联合创始人
北京,海淀区,知春路,经验不限,硕士,Python实习生,3-4K,Libratone小鸟音响,智能硬件,不需要融资,100-499人,汪女士,招聘经理
北京,朝阳区,东大桥,3-5年,本科,Python 爬虫开发工程师,11-20K,Stratifyd,企业服务,B轮,20-99人,杨女士,招聘经理
北京,朝阳区,国贸,1年以内,硕士,python助教,10-15K,小象科技,互联网,A轮,20-99人,朱女士,hrd
北京,海淀区,五道口,3-5年,本科,Python开发工程师（后台）,20-28K·15薪,海致星图,计算机软件,C轮,100-499人,伍女士,HRBP
北京,朝阳区,望京,3-5年,本科,Python后端及Go微服务,15-30K,哈希泰格,互联网,天使轮,20-99人,任先生,招聘者
北京,朝阳区,酒仙桥,5-10年,本科,Python开发工程师,20-30K,遨游酒店信息技术公司,互联网,D轮及以上,1000-9999人,李女士,HRBP
北京,东城区,景山,1-3年,本科,Python爬虫与数据工程师,12-24K·14薪,百观,互联网金融,A轮,20-99人,王女士,首席运营官COO
北京,海淀区,魏公村,3-5年,本科,Python开发工程师,10-20K,富景天策,企业服务,未融资,20-99人,岳女士,人力资源主管
北京,朝阳区,四惠,1-3年,本科,Python开发工程师,15-16K,思百达物联,互联网,未融资,20-99人,王女士,人事
北京,海淀区,上地,3-5年,本科,python 数据分析工程师,15-30K,金色财经,互联网金融,不需要融资,100-499人,李先生,HR
北京,海淀区,知春路,1-3年,本科,Python开发工程师,15-30K,启明合心,数据服务,B轮,20-99人,王先生,联合创始人
北京,海淀区,中关村,经验不限,硕士,【全职或实习】Python/Java 后台开发工程师,18-35K,爱奇艺,互联网,已上市,1000-9999人,杨先生,技术 Leader
北京,通州区,北关,5-10年,本科,高级python开发工程师,18-30K,中谷金科,互联网,B轮,20-99人,龚女士,HR
北京,海淀区,西三旗,经验不限,本科,高级Python后端开发,15-30K,创源微致软件,计算机软件,不需要融资,20-99人,刘女士,人事主管
北京,海淀区,学院路,1-3年,本科,PYTHON开发工程师 (MJ000126),15-25K,阿博茨科技,互联网,B轮,100-499人,hrbp,hrbp
北京,海淀区,海淀北部新区,1-3年,本科,Python开发工程师,8-13K,中软国际,计算机软件,已上市,10000人以上,王女士,招聘专员
北京,朝阳区,呼家楼,1-3年,本科,Python开发工程师,11-22K,中电广通,企业服务,不需要融资,20-99人,丁女士,人事专员
北京,朝阳区,安贞,3-5年,大专,Python高级研发工程师,25-35K,好巧网,互联网,B轮,100-499人,李女士,HRBP
北京,海淀区,上地,5-10年,本科,资深Python 开发工程师,30-60K,网易,移动互联网,已上市,10000人以上,马先生,招聘者
北京,朝阳区,东大桥,3-5年,大专,Python开发工程师,10-20K,新光院线,广播/影视,A轮,20-99人,许女士,人力行政经理
北京,海淀区,牡丹园,5-10年,本科,高级python开发工程师,25-45K·13薪,GeneDock,医疗健康,B轮,20-99人,李先生,CEO
